== AUTO (w4) pressed from the probe
>> 4|255
<<     4.3 ms  4|BUTTON|255
<<     4.9 ms  41|BUTTON|127
<<     4.9 ms  FUNCTION|720|Running
<<     5.8 ms  65|BUTTON|127
<<     5.8 ms  FUNCTION|706|Running
<<     6.1 ms  30|BUTTON|127
<<     6.1 ms  FUNCTION|640|Running
<<     6.1 ms  FUNCTION|426|Running
<<     6.8 ms  93|BUTTON|127
<<     6.8 ms  FUNCTION|270|Running
<<     6.8 ms  FUNCTION|719|Running
<<     6.8 ms  FUNCTION|679|Running
<<     6.8 ms  FUNCTION|638|Running
<<     7.1 ms  599|BUTTON|127
<<     7.1 ms  FUNCTION|58|Running
<<     7.3 ms  FUNCTION|715|Running
<<     7.7 ms  FUNCTION|678|Running
<<    10.0 ms  FUNCTION|431|Running
<<    11.2 ms  FUNCTION|432|Running
<<    11.2 ms  638|BUTTON|127
<<    48.3 ms  FUNCTION|53|Running
<<    48.3 ms  110|BUTTON|127
<<    48.3 ms  FUNCTION|551|Running
<<    48.3 ms  128|BUTTON|127
<<    48.3 ms  FUNCTION|636|Running
<<    48.3 ms  162|BUTTON|127
<<    48.3 ms  FUNCTION|637|Running
<<    48.3 ms  FUNCTION|710|Running
<<    48.4 ms  FUNCTION|550|Running
<<    48.4 ms  FUNCTION|459|Running
<<    48.4 ms  FUNCTION|453|Running
<<    48.4 ms  FUNCTION|458|Running
<<    48.4 ms  FUNCTION|451|Running
<<    48.4 ms  FUNCTION|452|Running
<<    48.4 ms  643|SLIDER|200|200
<<  2002.4 ms  FUNCTION|638|Stopped
<<  2002.4 ms  FUNCTION|639|Running

== Rig Rojo pick (w68) while AUTO runs: the wheel f706 must stop
>> 68|255
<<     0.6 ms  68|BUTTON|255
<<    15.6 ms  65|BUTTON|0
<<    15.6 ms  FUNCTION|706|Stopped
<<    16.3 ms  FUNCTION|703|Stopped
<<    16.3 ms  FUNCTION|702|Stopped
<<    16.3 ms  FUNCTION|435|Stopped
<<    16.3 ms  FUNCTION|436|Stopped
<<    17.8 ms  FUNCTION|727|Running
<<    17.8 ms  FUNCTION|677|Running
<<    17.9 ms  FUNCTION|676|Running
<<    18.2 ms  FUNCTION|429|Running
<<    18.3 ms  FUNCTION|430|Running

== CHARLA (w5): AUTO f720 stops, Charla f723 runs, the pick is released
>> 5|255
<<     0.4 ms  5|BUTTON|255
<<     6.5 ms  4|BUTTON|0
<<     6.5 ms  41|BUTTON|0
<<     6.5 ms  FUNCTION|720|Stopped
<<     6.5 ms  30|BUTTON|0
<<     6.5 ms  FUNCTION|640|Stopped
<<     6.5 ms  FUNCTION|426|Stopped
<<     6.5 ms  93|BUTTON|0
<<     6.5 ms  FUNCTION|270|Stopped
<<     6.6 ms  FUNCTION|719|Stopped
<<     6.6 ms  599|BUTTON|0
<<     6.6 ms  FUNCTION|58|Stopped
<<     6.6 ms  FUNCTION|715|Stopped
<<     6.6 ms  638|BUTTON|0
<<     6.6 ms  FUNCTION|53|Stopped
<<     7.0 ms  110|BUTTON|0
<<     7.0 ms  FUNCTION|551|Stopped
<<     7.0 ms  128|BUTTON|0
<<     7.0 ms  FUNCTION|636|Stopped
<<     7.0 ms  162|BUTTON|0
<<     7.0 ms  FUNCTION|637|Stopped
<<     7.0 ms  FUNCTION|710|Stopped
<<     7.1 ms  FUNCTION|550|Stopped
<<     7.1 ms  FUNCTION|459|Stopped
<<     7.3 ms  FUNCTION|453|Stopped
<<     7.3 ms  FUNCTION|458|Stopped
<<     7.5 ms  FUNCTION|451|Stopped
<<     7.5 ms  FUNCTION|452|Stopped
<<     7.5 ms  FUNCTION|639|Stopped
<<     8.1 ms  42|BUTTON|127
<<     8.1 ms  FUNCTION|723|Running
<<     8.1 ms  113|BUTTON|127
<<     8.1 ms  FUNCTION|565|Running
<<     9.4 ms  67|BUTTON|127
<<     9.5 ms  FUNCTION|722|Running
<<     9.5 ms  128|BUTTON|127
<<     9.5 ms  FUNCTION|636|Running
<<     9.5 ms  162|BUTTON|127
<<     9.5 ms  FUNCTION|637|Running
<<     9.5 ms  FUNCTION|711|Running
<<     9.5 ms  FUNCTION|427|Running
<<     9.5 ms  94|BUTTON|127
<<     9.5 ms  FUNCTION|428|Running
<<     9.5 ms  FUNCTION|721|Running
<<     9.5 ms  FUNCTION|599|Running
<<    29.7 ms  68|BUTTON|0
<<    29.7 ms  FUNCTION|727|Stopped
<<    29.7 ms  FUNCTION|677|Stopped
<<    29.7 ms  FUNCTION|676|Stopped
<<    29.7 ms  FUNCTION|429|Stopped
<<    29.7 ms  FUNCTION|430|Stopped

== PARAR TODO (w21): everything stops within the 1 s fade
>> 21|255
<<    13.4 ms  5|BUTTON|0
<<    13.4 ms  42|BUTTON|0
<<    13.4 ms  FUNCTION|723|Stopped
<<    13.4 ms  113|BUTTON|0
<<    13.4 ms  FUNCTION|565|Stopped
<<    13.4 ms  67|BUTTON|0
<<    13.4 ms  FUNCTION|722|Stopped
<<    13.4 ms  128|BUTTON|0
<<    13.4 ms  FUNCTION|636|Stopped
<<    13.4 ms  162|BUTTON|0
<<    13.4 ms  FUNCTION|637|Stopped
<<    13.4 ms  FUNCTION|711|Stopped
<<    13.4 ms  FUNCTION|427|Stopped
<<    13.4 ms  94|BUTTON|0
<<    13.4 ms  FUNCTION|428|Stopped
<<    13.4 ms  FUNCTION|721|Stopped
<<    13.4 ms  FUNCTION|599|Stopped
